type_chaussure,prix,adresse,image_link
Chaussures hommes,2.400,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5157556_uploaded_image1_1738081427.jpg
Chaussures Timberlands,55.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5157552_uploaded_image1_1738081319.jpg
Chaussures hommes,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5157548_uploaded_image1_1738081163.jpg
Chaussures hommes,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5157546_uploaded_image1_1738081046.jpg
Chaussures  homme,25.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5157484_uploaded_image1_1738078792.jpg
Chaussures Jordan,35.000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5155951_uploaded_image1_1738005577.jpg
Baskets New balance et Adidas campus,32.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5153222_uploaded_image1_1737841616.jpg
Chaussures Travis schot,30.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5153219_uploaded_image1_1737841467.jpg
Baskets Adidas gazelle,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5153216_uploaded_image1_1737841359.jpg
Timberlands,50.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5153210_uploaded_image1_1737841100.jpg
Chaussures Bakhdad shoes,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5153207_uploaded_image1_1737840913.jpg
Chaussures homme,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5152932_uploaded_image1_1737822003.jpg
Chaussures homme,35.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5152904_uploaded_image1_1737820421.jpg
Chaussures homme,15.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5152563_uploaded_image1_1737805034.jpg
Chaussures Adidas,Prix.sur.demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5151881_uploaded_image1_1737752495.jpg
Chaussures Timberland,30.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5150663_uploaded_image1_1737692759.jpg
Chaussures Timberland,30.000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5150532_uploaded_image1_1737681617.jpg
Chaussures homme,15.000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5149979_uploaded_image1_1737655711.jpg
Chaussures Jordan 11,25.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5147842_uploaded_image1_1737560986.jpg
Chaussures homme,28.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145861_uploaded_image1_1737475001.jpg
Chaussures Nike,15.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145824_uploaded_image1_1737473368.jpg
Chaussures Nike,25.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145813_uploaded_image1_1737473121.jpg
Chaussures Nike,15.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145720_uploaded_image1_1737470265.jpg
Chaussures Adidas,20.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145714_uploaded_image1_1737470139.jpg
Chaussures Puma,30.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145706_uploaded_image1_1737469975.jpg
Chaussures homme,15.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145643_uploaded_image1_1737467967.jpg
Baskets Alexandre McQueen,43.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5143550_uploaded_image1_1737371274.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5142907_uploaded_image1_1737320376.jpg
Chaussures homme,15.000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141203_uploaded_image1_1737204782.jpg
Chaussures homme,40.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138888_uploaded_image1_1737064702.jpg
